	Epithelial Score	Mesenchymal Score
BT549_BREAST	-0.08386806499548599	0.2778038344499476
SUM102PT_BREAST	0.23221615284808117	0.019605461416075554
SUM1315MO2_BREAST	-0.16479578086041113	0.25338249150778736
SUM190PT_BREAST	0.2724156518178912	-0.14727301322945613
SUM44PE_BREAST	0.22883397815319861	-0.08737605722606911
SUM225CWN_BREAST		
VP229_BREAST	0.2589141989481606	0.04550969425225693
HCC1008_BREAST		
184A1_BREAST		
600MPE_BREAST		
HCC2185_BREAST		
HCC2688_BREAST		
HCC3153_BREAST		
LY2_BREAST		
MACLS2_BREAST		
MCF12A_BREAST		
MX1_BREAST		
SKBR5_BREAST		
SKBR7_BREAST		
ZR75B_BREAST		
21NT_BREAST		
SKBR3_BREAST	0.25803312513530907	-0.058514470112606964
MCF7_BREAST	0.19703247859723327	-0.0579288971146838
KPL1_BREAST	0.22809428852093006	-0.03236308896075535
MDAMB134VI_BREAST	0.14614116915880826	-0.06602862146005678
ZR751_BREAST	0.25018004391746107	-0.038630264715505624
HCC1187_BREAST	0.13842174017416764	0.07079465204746926
EFM192A_BREAST	0.2573939508189237	-0.036779460851566415
T47D_BREAST	0.2211451087700902	-0.0494093014830303
HS578T_BREAST	-0.10524910861692399	0.32061666313263293
HCC1599_BREAST	0.1899901472899156	0.018897718512110973
CAL120_BREAST	0.013565885764527663	0.22776893879287707
HCC1937_BREAST	0.27531218657999035	0.036457887190836424
AU565_BREAST	0.26260049690648457	-0.07655068014935623
DU4475_BREAST	0.12313641658848806	0.023481196366358037
HCC38_BREAST	0.18554538211283933	0.15420861283795073
HCC1419_BREAST	0.2562429952238656	-0.10255461486288181
EFM19_BREAST	0.21510608968175304	-0.03150649536667122
HCC1500_BREAST	0.18063191364961173	-0.037725926560439715
HCC1428_BREAST	0.19660059410810882	-0.028873523253707567
HCC1143_BREAST	0.19235575499888813	0.12516306873952954
BT20_BREAST	0.2490000014727518	0.009798166889708693
UACC893_BREAST	0.27069437305688804	-0.08885333011291591
UACC812_BREAST	0.24066459401385265	-0.021596690459372903
MDAMB436_BREAST	-0.058358161475461745	0.2387642303366132
MDAMB157_BREAST	-0.10357017147250153	0.24405685534661847
HCC1806_BREAST	0.2611454180479852	0.03709120474974126
HDQP1_BREAST	0.266475307105586	0.12547481263770444
HCC70_BREAST	0.2862146005675986	0.013315817632628124
HCC2157_BREAST	0.1959131871676183	0.043854081387625476
HCC1395_BREAST	-0.022536049284168913	0.2005110072276839
JIMT1_BREAST	0.19527290828732213	0.12687766017949142
HMC18_BREAST	-0.06262067360725537	0.2025949168893576
HCC202_BREAST	0.24741163856901538	-0.08285577070253308
HCC2218_BREAST	0.2738177116086722	-0.11514934919950626
MDAMB175VII_BREAST	0.34898512667875303	-0.09008485893588608
MDAMB231_BREAST	0.04500619292165986	0.22768468368526218
CAMA1_BREAST	0.1913156239828807	-0.06457100809832006
BT483_BREAST	0.25925698194848024	-0.05693889960020948
ZR7530_BREAST	0.24676289136540297	-0.04191340540889704
MDAMB468_BREAST	0.2678817851520101	0.015095004655094724
CAL51_BREAST	0.05205515161244234	0.15236904298836018
CAL851_BREAST	0.28102720025449146	0.12320694599107174
HCC1954_BREAST	0.27794399419146654	0.0043875847290425485
MDAMB415_BREAST	0.27927168001225333	-0.008669148447669861
CAL148_BREAST	0.20494851995799712	-0.07700425347868273
MDAMB453_BREAST	0.2008546379165863	-0.11430398961977073
BT474_BREAST	0.23427579635376083	-0.07371549577811698
HCC1569_BREAST	0.11492214297180703	0.12795612555696145
MDAMB361_BREAST	0.2511568466025823	0.10270486980479498
EVSAT_BREAST		
YMB1_BREAST		
MDAMB330_BREAST		
SUM149PT_BREAST	0.13925458136291402	0.10599784026074144
SUM159PT_BREAST	-0.0730297157147044	0.2488214816822375
SUM185PE_BREAST	0.26532471969849825	-0.07662229699082884
SUM229PE_BREAST	0.2067242905386001	0.12223520374991403
SUM52PE_BREAST	0.20843231453267375	-0.10282984821442365
MFM223_BREAST	0.23096468193714004	-0.07086767314073555
COLO824_BREAST	0.13030982281322123	0.03441329657938297
MRKNU1_BREAST		
OCUBM_BREAST		
YMB1E_BREAST		
