	Epithelial Score	Mesenchymal Score
B1_SUM159_WT_1	-0.10219351665166915	0.2574674599753132
B1_SUM159_WT_2	-0.09758085776015057	0.2517507509236466
B1_SUM159_WT_3	-0.1088010179661002	0.25242479178456523
B1_SUM159_EVC_1	-0.09799470103873187	0.269214026228615
B1_SUM159_EVC_2	-0.10834851495064074	0.2639045501970868
B1_SUM159_EVC_3	-0.09588535215706606	0.26144851381011425
B1_SUM159_g4_1	-0.05596678060857052	0.23421726302899915
B1_SUM159_g4_2	-0.05552974148786233	0.23500645253699148
B1_SUM159_g4_3	-0.05745683732424545	0.23463432581169275
B1_SUM159_gAll_1	-0.051911190116067596	0.24451042867594508
B1_SUM159_gAll_2	-0.046429975802686596	0.22507277534920234
B1_SUM159_gAll_3	-0.04056952787992946	0.23248020356033994
B2_MDAMB231_WT_1	-0.007999620030014698	0.2520189630162205
B2_MDAMB231_WT_2	-0.0171859098882034	0.2567105682585733
B2_MDAMB231_WT_3	-0.019945478725362675	0.2535299379461132
B2_MDAMB231_EVC_1	0.00851361043650889	0.2632248923289937
B2_MDAMB231_EVC_2	0.005851611411470725	0.2654211421341538
B2_MDAMB231_EVC_3	0.012236727191859864	0.2684641557708429
B2_MDAMB231_gAll_1	0.09052232618214107	0.23827835921603435
B2_MDAMB231_gAll_2	0.09555471935976523	0.24150111708230182
B2_MDAMB231_gAll_3	0.09082055843805825	0.2434066867661907
B2_MDAMB231_g4_1	0.07142478435230581	0.24071754458148387
B2_MDAMB231_g4_2	0.0694454058241446	0.23953516457128898
B2_MDAMB231_g4_3	0.06912618685392213	0.236836192624027
B2_SUM159_WT_1	-0.11301640203769947	0.2632740411417691
B2_SUM159_WT_2	-0.1194589551414505	0.27159142451514695
B2_SUM159_WT_3	-0.11867324201289836	0.25758541712597405
