	Epithelial Score	Mesenchymal Score
TCGA-3C-AAAU-01A-11R-A41B-07	0.2344854145063877	0.05814180925472401
TCGA-3C-AALI-01A-11R-A41B-07	0.2927882921607886	0.13610974560307443
TCGA-3C-AALJ-01A-31R-A41B-07	0.21701826993208895	0.16371173608777811
TCGA-3C-AALK-01A-11R-A41B-07	0.27616303189559943	0.20549368888322517
TCGA-4H-AAAK-01A-12R-A41B-07	0.2313715720256354	0.2180088633099495
TCGA-5L-AAT0-01A-12R-A41B-07	0.22200050478305833	0.20839947352101895
TCGA-5L-AAT1-01A-12R-A41B-07	0.24074872099180755	0.211435284982865
TCGA-5T-A9QA-01A-11R-A41B-07	0.3118849042497781	-0.03597871857268331
TCGA-A1-A0SB-01A-11R-A144-07	0.16506036762281495	0.16997488000302285
TCGA-A1-A0SD-01A-11R-A115-07	0.2589734745625395	0.2096167616800948
TCGA-A1-A0SE-01A-11R-A084-07	0.24455718318889963	0.1901705277718404
TCGA-A1-A0SF-01A-11R-A144-07	0.26335796286586455	0.18779040713213802
TCGA-A1-A0SG-01A-11R-A144-07	0.2552970726492292	0.1815191133874655
TCGA-A1-A0SH-01A-11R-A084-07	0.23143108603510287	0.26875859205028585
TCGA-A1-A0SI-01A-11R-A144-07	0.25129182325294885	0.24095470806384878
TCGA-A1-A0SJ-01A-11R-A084-07	0.23884166623587788	0.20341955729385652
TCGA-A1-A0SK-01A-12R-A084-07	0.14169308234349653	0.07278520050247406
TCGA-A1-A0SM-01A-11R-A084-07	0.2878481949661573	0.20008887018544197
TCGA-A1-A0SN-01A-11R-A144-07	0.27878251712982616	0.1886298395631988
TCGA-A1-A0SO-01A-22R-A084-07	0.1493256454554972	0.05285294040289057
TCGA-A1-A0SP-01A-11R-A084-07	0.17065425010393231	0.17702300067087906
TCGA-A1-A0SQ-01A-21R-A144-07	0.2746921236032127	0.11875690651738158
TCGA-A2-A04N-01A-11R-A115-07	0.24922056195994835	0.19705268827680378
TCGA-A2-A04P-01A-31R-A034-07	0.18876518856166802	0.1794527611807325
TCGA-A2-A04Q-01A-21R-A034-07	0.15535828085312686	0.22794202359523807
TCGA-A2-A04R-01A-41R-A109-07	0.25243084320056786	0.13170846726528396
TCGA-A2-A04T-01A-21R-A034-07	0.1435193370573754	0.1391948264882793
TCGA-A2-A04U-01A-11R-A115-07	0.1341582612178478	0.12292554426968816
TCGA-A2-A04V-01A-21R-A034-07	0.21103993563798806	0.18816937420052948
TCGA-A2-A04W-01A-31R-A115-07	0.29714410948145054	0.18005510766480348
TCGA-A2-A04X-01A-21R-A034-07	0.268887987249232	0.1303959742806201
TCGA-A2-A04Y-01A-21R-A034-07	0.2410945104190786	0.1534307262646405
TCGA-A2-A0CK-01A-11R-A22K-07	0.2272772688195679	0.17838624486607058
TCGA-A2-A0CL-01A-11R-A115-07	0.15117362061078754	0.26086659358986275
