"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000100234",-2.84801381148575,8.1413793848576,-64.9768413960519,2.09147089151512e-26,2.58526716900184e-22
"ENSG00000265972",-3.92215459514488,9.29865701875948,-57.9191583369163,2.42591714951369e-25,1.33403382313666e-21
"ENSG00000116285",-2.13831938745592,8.91715934956454,-57.1395138339496,3.23768422409998e-25,1.33403382313666e-21
"ENSG00000136167",2.88398747911263,7.01635943022849,48.0214165085472,1.30711409462252e-23,4.03930933090723e-20
"ENSG00000070669",-3.77151264605258,7.7926127880749,-38.7718325020062,1.21867159831389e-21,3.0127999253516e-18
"ENSG00000120738",-2.88670469496126,6.26311765172813,-35.6326621049745,7.24842096499534e-21,1.49329552580512e-17
"ENSG00000169429",-2.71738970991038,9.06017462020944,-30.5712967788264,1.81871871885484e-19,3.21159744053782e-16
"ENSG00000175793",2.71119337991634,6.1624987735121,30.0057688444828,2.69004940647728e-19,4.15646258918321e-16
"ENSG00000109971",2.32646040812512,10.0660657981515,27.9989182650215,1.14478126525291e-18,1.5722934688657e-15
"ENSG00000163661",-1.98932730106578,6.12666649624133,-27.6663397120966,1.46918873637864e-18,1.81606419703764e-15
"ENSG00000130066",-2.35227972931797,6.42354430168887,-26.4682137846958,3.69767688873002e-18,4.15518036559925e-15
"ENSG00000081041",-2.60971288830515,6.1259135006796,-24.8099480393459,1.41874863969221e-17,1.46142932793629e-14
"ENSG00000170421",1.90762470562612,7.813076213204,23.5067846113876,4.33571448216404e-17,4.01716647686036e-14
"ENSG00000153879",-1.78351996014876,7.06590061751994,-23.4520160919131,4.5498204575718e-17,4.01716647686036e-14
"ENSG00000148516",-4.58427897232506,4.17955627547059,-22.5688577791005,1.0046236122438e-16,8.27876831396373e-14
"ENSG00000139318",-1.61417216021574,6.9887481293785,-21.5499623574625,2.59758783411983e-16,2.0067989510972e-13
"ENSG00000128965",-3.29387480364165,4.76178006858504,-21.2310494279425,3.52694155567712e-16,2.5243841581882e-13
"ENSG00000137801",2.37539092270882,7.95459773029122,21.1418651785606,3.84475628046833e-16,2.5243841581882e-13
"ENSG00000087074",-1.72347155192899,8.30506969742736,-21.1323969196969,3.88021187651289e-16,2.5243841581882e-13
"ENSG00000188910",5.64773484676661,1.94582124596092,20.6750047716939,6.07669967752081e-16,3.75570423569173e-13
"ENSG00000100219",-1.85801414881328,7.86190715775634,-20.5871409350114,6.62563356429094e-16,3.89997411848573e-13
"ENSG00000135069",-1.67258676828054,8.55043902672805,-20.5254633094838,7.04472297459361e-16,3.90678969368452e-13
"ENSG00000173546",-2.26045822287003,4.19914269824188,-20.4939667535373,7.26932796333176e-16,3.90678969368452e-13
"ENSG00000189060",-1.48278262863869,8.59080634685692,-20.048812152776,1.13813927600196e-15,5.86189149610843e-13
"ENSG00000177469",1.66447423855542,8.20979858226164,19.1929137931934,2.765427867088e-15,1.36733815460299e-12
"ENSG00000196352",-1.73242557799583,7.96928003066325,-19.0519569269551,3.21170393251782e-15,1.52691816576357e-12
"ENSG00000115008",-2.18470872469145,6.85503615897656,-19.004679843683,3.37772131629047e-15,1.54637085891357e-12
"ENSG00000111057",1.52563793311052,8.51656393176525,18.1198618991222,8.86100101500472e-15,3.91181548380262e-12
"ENSG00000125538",-1.76655932174645,6.10103689632233,-18.02903004584,9.80620418309527e-15,4.1798099968014e-12
"ENSG00000168209",-2.19494347712665,8.49619529950769,-17.8189916796647,1.24177025644386e-14,4.98851116222714e-12
"ENSG00000140450",-2.33696570968698,5.1086303029325,-17.8123947974308,1.25106258416828e-14,4.98851116222714e-12
"ENSG00000184992",2.13668839734126,5.51557871610196,17.6794234149685,1.45468076583624e-14,5.6191590457818e-12
"ENSG00000159167",-2.15726364116208,5.18478425186418,-17.6222700406065,1.55256137824288e-14,5.81551854438188e-12
"ENSG00000275216",1.82237163610621,5.46838438501856,17.5595384206759,1.66794930677143e-14,5.96264172793018e-12
"ENSG00000134531",-1.60320751016057,7.96773308518499,-17.5489387370183,1.68831373252614e-14,5.96264172793018e-12
"ENSG00000125731",3.67086388870487,3.01850901260189,17.0673264469868,2.95057351832003e-14,1.01311220166538e-11
"ENSG00000156265",-2.80922699700263,2.07392838749015,-16.954707696268,3.36863605139139e-14,1.12539757381754e-11
"ENSG00000102804",-2.14459860785342,8.37341306421179,-16.5376855299403,5.53975058946857e-14,1.80202255359003e-11
"ENSG00000031698",-1.6083168007667,8.24150204094484,-16.3260037361848,7.16067663333421e-14,2.26531599865774e-11
"ENSG00000112118",1.60171914912611,7.13869384404392,16.3067852389934,7.33052665207585e-14,2.26531599865774e-11
"ENSG00000273760",3.79313257126248,2.20076704065446,16.247492817338,7.88165727121013e-14,2.37622354949825e-11
"ENSG00000168143",4.18160745115688,3.03889043131887,15.8787482020558,1.24341064863205e-13,3.6594759589859e-11
"ENSG00000116133",1.86967817626886,7.1714023596326,15.7898379386299,1.38968414910361e-13,3.99485715513251e-11
"ENSG00000166750",-2.06376419666044,7.28786370842402,-15.7591233349256,1.44431894844514e-13,4.05755148221145e-11
"ENSG00000196154",-2.8411603678583,2.18423468181447,-15.6685555348496,1.61884989437005e-13,4.44680078762405e-11
"ENSG00000184371",-2.19716245438853,6.76109247015793,-15.5532953818362,1.87330758818121e-13,5.03390328206694e-11
"ENSG00000189057",3.04586689506506,4.04702236839181,15.3364020012104,2.47173450512072e-13,6.5006617484675e-11
"ENSG00000187908",-3.73330343549232,1.67801884971697,-15.2254735237498,2.85191047801199e-13,7.34426362889713e-11
"ENSG00000130766",-2.14097997945118,5.41731610684646,-15.1130772779071,3.29965480268577e-13,8.32388428897934e-11
"ENSG00000276850",3.18626280526608,3.70499814596912,14.9336641329097,4.17248435038384e-13,1.03152158110189e-10
"ENSG00000184363",2.379731498316,5.7269642751404,14.7974855360661,4.99391101357031e-13,1.21038694193613e-10
"ENSG00000116761",-2.91232525531773,4.72906927160578,-14.7465156658019,5.34326071347072e-13,1.27015472460022e-10
"ENSG00000106537",2.60621335460095,4.01551228307733,14.5280111422272,7.15572508254236e-13,1.668904108402e-10
"ENSG00000163993",-5.37744202687781,1.20334464197853,-14.5046927828672,7.38774098890458e-13,1.68957029085032e-10
"ENSG00000117305",-2.2553486538603,4.40576456968784,-14.4913586496692,7.51770617237825e-13,1.68957029085032e-10
"ENSG00000135525",3.90893261746828,1.93571712014389,13.9164774781281,1.65271236466702e-12,3.64806741779447e-10
"ENSG00000135378",2.52568008967536,2.94467037010493,13.7959373261857,1.95600818398994e-12,4.2125176089661e-10
"ENSG00000119138",-2.07872821606656,6.38291619351107,-13.7884785830488,1.97658782719872e-12,4.2125176089661e-10
"ENSG00000188229",1.45579680273196,8.40678241355517,13.6991513169904,2.24134153245652e-12,4.69580045469408e-10
"ENSG00000050165",-2.71315334278898,5.36363590705573,-13.6777735686713,2.31001870909489e-12,4.7083495523252e-10
"ENSG00000138271",5.47811608016782,2.18449677774869,13.6741071595332,2.32351203536799e-12,4.7083495523252e-10
"ENSG00000180921",2.87197117317051,3.96226127758084,13.5682949212599,2.69773703392323e-12,5.37850443166532e-10
"ENSG00000175197",-2.08795488270184,4.84752013787442,-13.2833803790947,4.0590528270454e-12,7.96411936430289e-10
"ENSG00000242265",1.89031024218646,6.82105626594392,13.1503409515277,4.92391281408587e-12,9.51007598358054e-10
"ENSG00000176658",3.26121445082723,4.15441928990646,13.0618138376206,5.60406519945362e-12,1.06572076816071e-09
"ENSG00000185585",-2.41434473602148,4.43993608388703,-13.0085162306431,6.06005715016727e-12,1.13497524898815e-09
"ENSG00000163347",-1.66517534641288,6.28535191067428,-12.8175112230282,8.03781038436812e-12,1.48291603225633e-09
"ENSG00000265992",1.78681628216259,3.57895446925589,12.6557078258957,1.02368619237217e-11,1.86085073881064e-09
"ENSG00000176046",-5.44035918973108,4.10071448284052,-12.5917974050876,1.12779567594989e-11,2.00914214498882e-09
"ENSG00000158769",2.22326181661982,4.16718344805338,12.5855139449795,1.13777162162622e-11,2.00914214498882e-09
