"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000100234",-2.58365568162296,8.1413793848576,-55.6889689275809,5.59808534006369e-25,6.91979328885273e-21
"ENSG00000136167",2.58060188530868,7.01635943022849,39.2079568766729,9.61954336635905e-22,5.94535877757821e-18
"ENSG00000148346",2.64317474638262,3.66402178603561,32.974861372126,3.7099635089421e-20,1.52862863113444e-16
"ENSG00000019549",2.50535858135889,5.41518333612286,26.2598826596421,4.35886802104914e-18,1.19652861833415e-14
"ENSG00000163661",-1.96593374834876,6.12666649624133,-26.1281112965551,4.83993454548236e-18,1.19652861833415e-14
"ENSG00000175793",2.41011072022506,6.1624987735121,24.0593541609642,2.68137449039359e-17,5.52407834595919e-14
"ENSG00000188910",5.85439194134144,1.94582124596092,21.5835676325364,2.51775611037397e-16,4.44599761147609e-13
"ENSG00000148516",-4.35780365935176,4.17955627547059,-21.0983755737474,4.01069496564677e-16,6.19702505879496e-13
"ENSG00000168497",-1.98446416764908,5.23348436541824,-18.0431935939933,9.65215435143937e-15,1.32566977709047e-11
"ENSG00000125731",3.68339392715187,3.01850901260189,17.0191072820034,3.12253828540683e-14,3.85976957459139e-11
"ENSG00000158769",2.63292038895878,4.16718344805338,16.9048887819899,3.57288531112774e-14,4.0149486664409e-11
"ENSG00000124762",1.66574204183691,6.57643069595021,16.3443416661366,7.00243384092694e-14,7.21309039230816e-11
"ENSG00000168143",4.26608534329916,3.03889043131887,16.2223526525754,8.12851788142571e-14,7.72896996402332e-11
"ENSG00000100867",2.38281953062888,1.65966365492681,15.4369143018795,2.17286270498863e-13,1.91848256402604e-10
"ENSG00000137801",2.01359687129443,7.95459773029122,15.0003107311069,3.82307690352954e-13,3.0247288193218e-10
"ENSG00000176658",3.58695487313666,4.15441928990646,14.9821492707362,3.91518979930012e-13,3.0247288193218e-10
"ENSG00000091490",2.02992164175533,6.55252070724761,14.7895075518005,5.04698046043389e-13,3.66974855714255e-10
"ENSG00000135378",2.52489412526786,2.94467037010493,13.6209438599599,2.50345523856444e-12,1.71917834466084e-09
"ENSG00000180263",2.10875635661973,5.2539210002336,13.5157553459604,2.90731700767635e-12,1.89143923852039e-09
"ENSG00000230439",2.36227094135359,2.82130926430011,13.3915160116759,3.4732122701376e-12,2.14661884355854e-09
"ENSG00000106537",2.4955957851225,4.01551228307733,13.2947714449107,3.99276059061651e-12,2.35021493621956e-09
"ENSG00000183696",1.62969919289147,6.85866527257318,12.1846906745079,2.09859073553457e-11,1.17912182190649e-08
"ENSG00000135525",3.57057658753583,1.93571712014389,12.0635572631132,2.5327599827385e-11,1.36119331072307e-08
"ENSG00000058085",2.18717799802145,7.85799420714504,11.7291404223952,4.28830130823556e-11,2.20865385296249e-08
"ENSG00000196878",1.34800418372084,8.70377252882125,11.386750547395,7.43892835280697e-11,3.67810373476188e-08
