"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000148516",-6.83223349176707,4.17955627547059,-19.8959915655535,1.33330287516365e-15,1.64809568398979e-11
"ENSG00000196878",1.94752906560439,8.70377252882125,15.3643163273815,2.38466170172353e-13,1.47384016475023e-09
"ENSG00000108342",2.5880997839559,5.81991882814152,14.9334622740812,4.17358462436712e-13,1.71965598472673e-09
"ENSG00000105825",1.77074780796063,6.92050974216467,14.5154799554816,7.27739477287492e-13,2.24889691968767e-09
"ENSG00000125538",2.38836651910242,6.10103689632233,14.0004734222992,1.47058811384468e-12,3.63558793504681e-09
"ENSG00000236453",2.15150418248214,2.05393080374733,13.337574086735,3.7535712558588e-12,7.73298238227843e-09
"ENSG00000106537",2.25325161189202,4.01551228307733,12.833758853525,7.84600007172671e-12,1.38549152695163e-08
"ENSG00000230439",2.95565602772591,2.82130926430011,12.6019531681508,1.10991770480371e-11,1.71496159363483e-08
"ENSG00000120738",2.3046282425176,6.26311765172813,12.067085062318,2.51884901465962e-11,3.45949918557861e-08
"ENSG00000135525",3.73315700644262,1.93571712014389,11.0477648982602,1.29896105826926e-10,1.55735201949363e-07
"ENSG00000065618",1.44636497900029,6.48807574091538,11.0088374741297,1.3858807713316e-10,1.55735201949363e-07
"ENSG00000197249",1.81800459064643,4.98623171191826,8.3435777762806,1.78330263183953e-08,1.83695031934737e-05
"ENSG00000105699",3.25666759665864,4.85446914835902,8.28010608326642,2.02385403746664e-08,1.92437382747116e-05
"ENSG00000178726",1.50653468142659,5.99783132317261,7.27404394683112,1.61566636316311e-07,0.000135849530940529
"ENSG00000158769",2.75936120194152,4.16718344805338,7.26460438994971,1.64852598018601e-07,0.000135849530940529
"ENSG00000188064",2.6501715549463,2.90715059404914,7.21475684460662,1.83380680682676e-07,0.00014167303711991
"ENSG00000237036",-5.23470950497496,1.56403988849681,-7.16188276894797,2.0569309535113e-07,0.00014956307950796
"ENSG00000139289",1.3989767055977,8.42853269235234,6.86624839863613,3.89731750626932e-07,0.000267637453861083
"ENSG00000139318",1.54549300352079,6.9887481293785,6.5181169354989,8.40817493239537e-07,0.000547018159680733
"ENSG00000168528",1.52635804199652,5.80254698069875,6.39426431563043,1.10948084052588e-06,0.000670746531002484
"ENSG00000113070",1.66935941074054,6.08857515628844,6.38237396831806,1.1395256978442e-06,0.000670746531002484
"ENSG00000188042",-1.87442381447388,4.03556645675867,-6.35657906977334,1.20760419532317e-06,0.000678508884472257
"ENSG00000135373",3.16725024384182,2.64917835706001,6.1324905729703,2.00603750741241e-06,0.00107811433170108
"ENSG00000091986",-2.55015294446565,4.64169583556912,-6.10467199479482,2.13734456760967e-06,0.00110082150834263
"ENSG00000096696",1.5505669763278,6.64998268489657,5.97306243691418,2.88877246732774e-06,0.00142832465874553
"ENSG00000159167",1.61018309560848,5.18478425186418,5.94233893503125,3.10013870797159e-06,0.00147387748343219
"ENSG00000109321",1.45951206596311,5.04083082978435,5.90058807144825,3.41295256075448e-06,0.00156250024457356
"ENSG00000136960",-1.67296627685522,3.32272828018008,-5.85214182738895,3.81663014851665e-06,0.00168490590235051
"ENSG00000155966",-2.0224838371006,2.19576717440579,-5.5862572516004,7.08071346856051e-06,0.00301809307534057
"ENSG00000115009",1.82636819940855,2.28379913418356,5.39888228336711,1.09919554883265e-05,0.00452905205970678
"ENSG00000196754",1.28253918599129,5.68614845477673,5.23443883693439,1.62121535134109e-05,0.0064644654702991
"ENSG00000168497",-1.42168483289564,5.23348436541824,-4.91617349943417,3.46011045935022e-05,0.0133657579337588
"ENSG00000213626",-2.18067083772544,1.62026881003239,-4.83889092394728,4.16371411202052e-05,0.0154954512482974
"ENSG00000187134",1.49359119356961,2.86342055502521,4.82914467985877,4.2621579357828e-05,0.0154954512482974
"ENSG00000188910",1.8941069102563,1.94582124596092,4.69917499635633,5.82327820833297e-05,0.0205661548380582
"ENSG00000086730",2.08581129951437,2.97563227770349,4.58675013324212,7.63255483970191e-05,0.0262072251037654
"ENSG00000163297",1.22743032243533,7.53122427667508,4.45454235177943,0.0001049736144621,0.035069698604487
"ENSG00000081181",1.66325132183187,4.85260542350873,4.12960124724241,0.000229994162427509,0.0748146800464854
"ENSG00000124102",1.5772621422916,1.17401342183042,4.06132900727333,0.000271178652181186,0.0859497261438883
