"genes"	"epiMes_tumor"	"epiMes_cellLine"
"ABCC3"	"epi"	"epi"
"ABHD11"	"epi"	NA
"AGR2"	"epi"	"epi"
"AKAP12"	"mes"	"mes"
"AKAP2"	"mes"	NA
"AKR1B10"	"epi"	NA
"AKT3"	"mes"	NA
"ANGPTL2"	"mes"	NA
"ANK2"	"mes"	"mes"
"AP1M2"	"epi"	"epi"
"AP1S2"	"mes"	"mes"
"ARHGAP32"	"epi"	NA
"ARHGAP8"	"epi"	"epi"
"ASPN"	"mes"	NA
"ATP2C2"	"epi"	"epi"
"AXL"	"mes"	"mes"
"AZGP1"	"epi"	NA
"BCAS1"	"epi"	NA
"BGN"	"mes"	NA
"BICC1"	"mes"	NA
"BIK"	"epi"	"epi"
"BNC2"	"mes"	NA
"BSPRY"	"epi"	"epi"
"C14orf139"	"mes"	NA
"C19orf21"	"epi"	"epi"
"C1orf106"	"epi"	"epi"
"C1orf54"	"mes"	NA
"C1R"	"mes"	NA
"C1S"	"mes"	NA
"C4orf19"	"epi"	"epi"
"CALD1"	"mes"	"mes"
"CAV1"	"mes"	NA
"CBLC"	"epi"	"epi"
"CCL2"	"mes"	NA
"CCL8"	"mes"	NA
"CD163"	"mes"	NA
"CD24"	"epi"	NA
"CD2AP"	"epi"	NA
"CDH1"	"epi"	"epi"
"CDH11"	"mes"	NA
"CDH2"	"mes"	NA
"CDK14"	"mes"	NA
"CDS1"	"epi"	"epi"
"CEACAM1"	"epi"	"epi"
"CEACAM5"	"epi"	NA
"CEACAM6"	"epi"	"epi"
"CEACAM7"	"epi"	NA
"CEP170"	"mes"	"mes"
"CHN1"	"mes"	"mes"
"CHRDL1"	"mes"	NA
"CKMT1A"	"epi"	"epi"
"CLDN3"	"epi"	NA
"CLDN4"	"epi"	"epi"
"CLDN7"	"epi"	"epi"
"CLEC2B"	"mes"	NA
"CLIC4"	"mes"	NA
"COL14A1"	"mes"	NA
"COL15A1"	"mes"	NA
"COL5A2"	"mes"	"mes"
"COL6A1"	"mes"	NA
"COL6A2"	"mes"	NA
"COLEC12"	"mes"	NA
"CORO2A"	"epi"	NA
"CRISPLD2"	"mes"	NA
"CRYAB"	"mes"	NA
"CSF2RB"	"mes"	NA
"CSRP2"	"mes"	NA
"CTSK"	"mes"	NA
"CXADR"	"epi"	NA
"CXCL12"	"mes"	NA
"CXCL13"	"mes"	NA
"CXCR4"	"mes"	NA
"CYB561"	"epi"	"epi"
"CYP1B1"	"mes"	NA
"DCN"	"mes"	NA
"DDR1"	"epi"	"epi"
"DDR2"	"mes"	NA
"DHCR24"	"epi"	NA
"DPT"	"mes"	NA
"DPYSL3"	"mes"	NA
"DSE"	"mes"	NA
"DSG2"	"epi"	NA
"DSP"	"epi"	"epi"
"ECM2"	"mes"	NA
"EFEMP1"	"mes"	NA
"EFEMP2"	"mes"	NA
"EHF"	"epi"	"epi"
"ELF3"	"epi"	"epi"
"ELMO3"	"epi"	"epi"
"EMP3"	"mes"	"mes"
"ENPP2"	"mes"	NA
"EPB41L4B"	"epi"	NA
"EPCAM"	"epi"	"epi"
"EPN3"	"epi"	"epi"
"EPS8L1"	"epi"	"epi"
"EPS8L2"	"epi"	"epi"
"ERBB2"	"epi"	"epi"
"ERBB3"	"epi"	"epi"
"ESRP1"	"epi"	"epi"
"ESRP2"	"epi"	"epi"
"EVI2A"	"mes"	NA
"EXPH5"	"epi"	"epi"
"EZR"	"epi"	NA
"F11R"	"epi"	"epi"
"F13A1"	"mes"	NA
"FA2H"	"epi"	"epi"
"FAM174B"	"epi"	NA
"FAP"	"mes"	NA
"FBLN1"	"mes"	NA
"FBN1"	"mes"	NA
"FERMT2"	"mes"	"mes"
"FGFR3"	"epi"	NA
"FGL2"	"mes"	NA
"FHL1"	"mes"	"mes"
"FLI1"	"mes"	NA
"FLRT2"	"mes"	NA
"FN1"	"mes"	NA
"FSTL1"	"mes"	"mes"
"FUT2"	"epi"	NA
"FUT3"	"epi"	NA
"FXYD3"	"epi"	"epi"
"FXYD6"	"mes"	NA
