	HGNC	MDAMB231_G4_vs_NoGuide:logFC	MDAMB231_G4_vs_NoGuide:adj.P.Val	MDAMB231_GAll_vs_NoGuide:logFC	MDAMB231_GAll_vs_NoGuide:adj.P.Val	SUM159_G4_vs_NoGuide:logFC	SUM159_G4_vs_NoGuide:adj.P.Val	SUM159_GAll_vs_NoGuide:logFC	SUM159_GAll_vs_NoGuide:adj.P.Val
ENSG00000000003	TSPAN6	0.345907288497084	1.0	-0.177528608193476	1.0	-0.189631340320418	1.0	-0.527192175666189	1.0
ENSG00000000419	DPM1	-0.0995100520593368	1.0	0.16713738291225	1.0	0.0522763013306911	1.0	-0.0832952850448176	1.0
ENSG00000000457	SCYL3	-1.14210413290985	1.0	-0.133197321157327	1.0	0.0106987567303065	1.0	0.0105676601161355	1.0
ENSG00000000460	C1orf112	0.760816238872668	1.0	-0.291095068098925	1.0	0.0479495247958761	1.0	-0.0802262155517797	1.0
ENSG00000000971	CFH	-1.21838697376089	1.0	-1.87421106026782	0.0535984891500318	0.162871123219632	1.0	0.163809600906736	1.0
ENSG00000001036	FUCA2	0.288346936476212	1.0	-0.164234483691543	1.0	-0.0916242939613934	1.0	-0.0901612484196423	1.0
ENSG00000001084	GCLC	0.0828153613498372	1.0	0.175691417577547	1.0	-0.167508123069658	1.0	-0.0696579836924309	1.0
ENSG00000001167	NFYA	-0.0075546940813655	1.0	0.559668318035294	1.0	0.194546387003379	1.0	0.215910488035755	1.0
ENSG00000001460	STPG1	-0.0197297329072734	1.0	0.409733757643847	1.0	0.136734996098588	1.0	0.0577638699303797	1.0
ENSG00000001461	NIPAL3	0.0866966899492736	1.0	0.446069050667551	1.0	0.197169553823125	1.0	0.213214071818427	1.0
ENSG00000001497	LAS1L	0.33226759489435	1.0	0.0899263603142675	1.0	0.0165713833449619	1.0	-0.0741421768119137	1.0
ENSG00000001561	ENPP4	-0.27636298062454	1.0	-0.221094294183562	1.0	-0.572625946869745	1.0	-0.335728927375018	1.0
ENSG00000001617	SEMA3F	-0.629762928537829	1.0	-0.402168016865853	1.0	0.363484803849426	1.0	0.525689941121719	1.0
ENSG00000001629	ANKIB1	0.335088834761971	1.0	0.50332905579727	1.0	-0.115947208452885	1.0	-0.252871462598605	1.0
ENSG00000001630	CYP51A1	0.218212522419284	1.0	-0.0719485103926498	1.0	0.0564020565262666	1.0	-0.111449238261366	1.0
ENSG00000001631	KRIT1	-0.679921277015772	1.0	-0.19041315853793	1.0	-0.129491845609357	1.0	-0.246823015343873	1.0
ENSG00000002016	RAD52	-1.17064633738159	1.0	-0.211168813469373	1.0	-3.60891253174955e-05	1.0	0.518183595137006	1.0
ENSG00000002330	BAD	0.594971647030645	1.0	-0.0467862608562628	1.0	0.411051782284786	1.0	0.133858142161325	1.0
ENSG00000002549	LAP3	0.323986237564201	1.0	-0.105479550542499	1.0	-0.165624133030142	1.0	-0.336942038088399	1.0
ENSG00000002586	CD99	-0.355030903873216	1.0	-0.381674041787949	1.0	-0.0617279558893307	1.0	-0.0311860019679076	1.0
ENSG00000002746	HECW1	-0.328655343108147	1.0	-0.553843628911341	1.0	0.463985711841213	1.0	0.448098346736387	1.0
ENSG00000002822	MAD1L1	-0.261632042289405	1.0	-0.351174117407174	1.0	-0.358660984929028	1.0	0.0613429541680208	1.0
ENSG00000002834	LASP1	0.424292595647445	1.0	-0.260018396356886	1.0	-0.454533612946702	1.0	-0.210762226027192	1.0
ENSG00000002919	SNX11	0.239433830431809	1.0	-0.115926964352774	1.0	0.0459211629884737	1.0	0.0782997296038963	1.0
ENSG00000003056	M6PR	0.517150279796608	1.0	0.342447033107667	1.0	-0.140813039628608	1.0	-0.13612094245399	1.0
ENSG00000003137	CYP26B1	0.379121513662779	1.0	0.73614504475619	1.0	0.303514035032684	1.0	0.457849962630988	1.0
ENSG00000003147	ICA1	-0.150272861830805	1.0	0.925907968572303	1.0	0.0947911120095442	1.0	-0.261966608308468	1.0
ENSG00000003249	DBNDD1	0.471597693000932	1.0	0.211843338635054	1.0	0.516755652295616	1.0	0.47374575875706	1.0
ENSG00000003393	ALS2	-0.299927456418832	1.0	0.0702020573800288	1.0	-0.192395046519763	1.0	-0.340739269827873	1.0
ENSG00000003400	CASP10	-0.565565664193766	1.0	-0.640922309279999	1.0	-0.154597877271309	1.0	0.513301903001024	1.0
ENSG00000003402	CFLAR	-0.612767361361329	1.0	0.345297579725135	1.0	-0.0269747182199804	1.0	-0.153209562349198	1.0
ENSG00000003436	TFPI	-1.10115345897617	1.0	-0.325877771282259	1.0	0.185694141855791	1.0	0.0026658225872813	1.0
ENSG00000003509	NDUFAF7	-0.0540928275004666	1.0	-0.0907904748640109	1.0	0.517392781793535	1.0	0.432102209657778	1.0
ENSG00000003756	RBM5	-0.629669302638116	1.0	0.0062553173852188	1.0	-0.190534436539375	1.0	-0.26055460333754	1.0
ENSG00000003987	MTMR7	1.08339694012539	1.0	1.24545121359051	1.0	-0.00634696450842	1.0	0.773595970168897	1.0
ENSG00000003989	SLC7A2	0.468062221190032	1.0	0.770038279319453	1.0	0.283584922406675	1.0	0.402321757241632	1.0
ENSG00000004059	ARF5	0.170675627118714	1.0	0.0866032278597126	1.0	0.107831963333193	1.0	0.122752627245061	1.0
ENSG00000004142	POLDIP2	0.0602357518622059	1.0	-0.212978229757732	1.0	-0.0603228741814616	1.0	-0.160420628567266	1.0
ENSG00000004399	PLXND1	-0.878507272415518	1.0	-1.05860609923283	1.0	-0.172857468082727	1.0	-0.218366459571154	1.0
ENSG00000004455	AK2	0.239096889155605	1.0	0.322535975612301	1.0	0.391900959122284	1.0	0.17293290517789	1.0
ENSG00000004478	FKBP4	0.828456474505061	1.0	0.606180239528349	1.0	0.332084121549864	1.0	0.165172399131591	1.0
ENSG00000004487	KDM1A	0.263685905583896	1.0	0.0311460169797169	1.0	-0.0263420781187129	1.0	-0.204978917348458	1.0
ENSG00000004534	RBM6	0.0483019817020853	1.0	-0.0273036200596568	1.0	0.0678837369313801	1.0	-0.0487454200914454	1.0
ENSG00000004660	CAMKK1	-0.770274890374076	1.0	0.216500412518781	1.0	0.0703111382543407	1.0	-0.0750377425560749	1.0
ENSG00000004700	RECQL	-0.151092146427416	1.0	0.272526806413832	1.0	0.157744862721589	1.0	0.258773432980905	1.0
ENSG00000004766	VPS50	0.105225218252908	1.0	-0.493049154314947	1.0	0.07558794563686	1.0	0.164751154045563	1.0
ENSG00000004777	ARHGAP33	-0.125077434595292	1.0	-0.21979452774081	1.0	0.385399616550403	1.0	-0.688610005447475	1.0
ENSG00000004779	NDUFAB1	0.680899117803559	1.0	-0.179301719482228	1.0	0.224196558714895	1.0	0.231395837668987	1.0
ENSG00000004799	PDK4	-2.30229663709885	0.0011684440592832	-0.780004344881172	1.0	-0.799378508859678	1.0	-0.746446984365094	1.0
ENSG00000004864	SLC25A13	0.642598606981201	1.0	0.561216442983654	1.0	-0.240842040377683	1.0	-0.245689649840352	1.0
ENSG00000004866	ST7	0.72998460967938	1.0	0.0699907622905087	1.0	-0.200569459062053	1.0	-0.229008580228288	1.0
ENSG00000004897	CDC27	-0.0321988147892993	1.0	-0.218822699185179	1.0	0.0572727784943181	1.0	-0.0670308058733973	1.0
ENSG00000004961	HCCS	0.383495795595167	1.0	0.106450395895676	1.0	-0.0677635461023867	1.0	-0.0272840690652352	1.0
ENSG00000004975	DVL2	-0.0069938151861039	1.0	-0.642004979929873	1.0	-0.0302547105724313	1.0	-0.230446258388871	1.0
ENSG00000005007	UPF1	0.277896834568419	1.0	0.575366070475802	1.0	-0.292035547651081	1.0	-0.352627122808372	1.0
ENSG00000005020	SKAP2	-0.168609926584904	1.0	0.0541175465224635	1.0	-0.350700950584931	1.0	-0.247476986476966	1.0
ENSG00000005022	SLC25A5	0.711169637332846	1.0	-0.195193088328801	1.0	0.145143441187072	1.0	0.206221098963223	1.0
