"Probes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"chr"	"pos"	"strand"	"Type"	"Relation_to_Island"	"UCSC_RefGene_Name"	"UCSC_RefGene_Accession"	"UCSC_RefGene_Group"	"Regulatory_Feature_Group"
"cg00001503"	-0.532780689435552	1.16166981433705	-4.55889752138143	0.000766816054036929	0.0468003457635205	-0.298315685702151	"chr1"	25378899	"+"	"II"	"OpenSea"	""	""	""	""
"cg00001594"	0.590807711110556	-4.0044159598397	4.73173250453009	0.000576130964515417	0.0408930031468694	-0.0193211567961935	"chr2"	11484705	"+"	"I"	"Island"	"ROCK2"	"NM_004850;NM_004850"	"5'UTR"	""
"cg00002473"	-0.674901119218072	1.55892878053692	-4.88296053109789	0.000450125485297172	0.0364642199595036	0.221274116174094	"chr2"	218988876	"-"	"II"	"OpenSea"	"CXCR2"	"NM_001168298"	"TSS1500"	""
"cg00003929"	-0.503311187181366	-1.98278902749204	-5.00508359143724	0.000369644715056561	0.0330843197047699	0.413091316190494	"chr5"	66484833	"+"	"II"	"OpenSea"	"CD180"	"NM_005582"	"Body"	""
"cg00006040"	0.824377602082952	-2.22502768251413	8.09251719394516	4.97666237926093e-06	0.00307391727800389	4.50161637143523	"chr11"	63600052	"-"	"II"	"OpenSea"	""	""	""	""
"cg00008893"	-0.836696074111158	0.587773697447847	-7.07227849533782	1.804559317685e-05	0.00676881344494983	3.30809351641234	"chr2"	72263057	"-"	"II"	"OpenSea"	""	""	""	""
"cg00011200"	0.928323693875758	-2.89290240408826	4.55365819062283	0.000773539803332874	0.0469703949691346	-0.306838322820488	"chrX"	48380234	"-"	"I"	"Island"	"EBP"	"NM_006579;NM_006579"	"1stExon"	"Promoter_Associated"
"cg00011513"	0.704439043118691	-3.16877098025186	6.55894377667037	3.61939731634141e-05	0.00999620664181367	2.65096399146288	"chr1"	152484386	"-"	"II"	"N_Shelf"	"LCE5A"	"NM_178438"	"3'UTR"	""
"cg00011918"	0.893709999970727	1.28975614665588	6.39476609998749	4.55454802766223e-05	0.0112682530753804	2.432371322033	"chr11"	69911376	"+"	"II"	"OpenSea"	"LOC101928443"	"NR_120529;NR_120530"	"Body"	""
"cg00013369"	-0.646097086913791	1.80997899633927	-5.22390029967154	0.000261083849381247	0.0280178481418458	0.751115436375833	"chr1"	192857594	"+"	"II"	"OpenSea"	""	""	""	""
"cg00013952"	-0.769972812267404	1.21131051176273	-5.1657431532652	0.000286172111685764	0.0293654288186028	0.661993451530527	"chr11"	66563344	"-"	"II"	"OpenSea"	"C11orf80"	"NM_024650;NM_001302084"	"Body"	""
"cg00017489"	-0.698166062639536	1.59939336157287	-5.49298955923415	0.000171837683000948	0.0227319909240993	1.15661405050333	"chr7"	153583318	"-"	"II"	"Island"	"DPP6"	"NM_001039350"	"TSS1500"	""
"cg00018010"	0.864684944724509	-1.50212321784596	5.10211526350385	0.000316563616385746	0.030797927782088	0.56389027085358	"chr17"	20105626	"-"	"II"	"OpenSea"	"CYTSB"	"NM_001033554;NM_152904;NM_001033555;NM_001033553"	"Body"	""
"cg00020172"	0.508254548805771	-1.44232380791643	4.49904932060649	0.000847413394248142	0.0489274438571395	-0.395891747420324	"chr6"	31050373	"+"	"II"	"OpenSea"	""	""	""	""
"cg00028595"	0.845002517805115	-0.0178462722087948	7.59471963253031	9.1902010010604e-06	0.00456465828963237	3.93730906310553	"chr12"	64492784	"-"	"II"	"OpenSea"	"SRGAP1"	"NM_020762"	"Body"	""
"cg00029246"	0.576229611537893	-3.41014129678394	4.7240276555765	0.000583470602096144	0.0411769036179412	-0.0316682518675746	"chr7"	137223417	"+"	"II"	"OpenSea"	"DGKI"	"NM_004717"	"Body"	""
"cg00029587"	0.507367245485164	-0.491495051561162	5.19592854470793	0.000272847104059118	0.0286822143003104	0.70831588595924	"chr14"	95703788	"-"	"II"	"OpenSea"	"CLMN"	"NM_024734"	"Body"	""
"cg00031277"	0.707050718532281	0.126781645493056	6.29846204487035	5.220571427483e-05	0.0121322348779054	2.30221216888109	"chr4"	101943443	"+"	"II"	"OpenSea"	""	""	""	""
"cg00034336"	-0.838026675657633	2.61635883650238	-5.48606886970075	0.000173673973629103	0.0228071343794285	1.14632738232329	"chr2"	8684126	"+"	"I"	"OpenSea"	""	""	""	"Unclassified"
"cg00035348"	-1.11484372885264	-2.47746901849644	-7.8517255402647	6.67239987549205e-06	0.0037296990055164	4.23282134570479	"chr9"	84027287	"-"	"II"	"OpenSea"	""	""	""	""
"cg00037681"	-0.728421690949721	0.911042813620248	-7.08144439188212	1.78281272787773e-05	0.00673027310298838	3.31947101505888	"chr12"	47610371	"+"	"II"	"OpenSea"	"FAM113B"	"NM_138371;NR_026544;NM_138371"	"5'UTR"	"Promoter_Associated_Cell_type_specific"
"cg00039441"	-0.708484082431899	-1.83928566000742	-5.64277264783988	0.000136750286586384	0.0202886895903388	1.37739501695543	"chr2"	176957473	"-"	"I"	"Island"	"HOXD13"	"NM_000523"	"TSS200"	"Unclassified_Cell_type_specific"
"cg00041401"	-1.54433822203735	-3.62769403288148	-8.84651380255893	2.06770681115536e-06	0.00179880715687204	5.29524287885042	"chr1"	114414408	"-"	"II"	"OpenSea"	"PTPN22"	"NM_012411;NM_015967"	"TSS200"	"Promoter_Associated"
"cg00044097"	0.627498961631987	0.533022849640319	5.9006103386275	9.29800925883707e-05	0.016554036319584	1.74914366681998	"chr2"	106055153	"+"	"II"	"OpenSea"	"FHL2"	"NM_201557;NM_201557"	"1stExon"	""
"cg00044299"	0.71408251435481	-1.34155750073874	4.59536692861015	0.000721679266600397	0.0453991740494342	-0.239097050936413	"chr18"	24126361	"-"	"II"	"N_Shore"	"KCTD1"	"NM_001136205;NM_001142730;NM_198991"	"5'UTR"	"Unclassified_Cell_type_specific"
"cg00045273"	0.705107462562425	0.969416982195276	6.66102829971352	3.14306557032188e-05	0.00920001201566339	2.78480243920511	"chr3"	197119863	"+"	"II"	"OpenSea"	""	""	""	""
"cg00045439"	0.538353948974695	-3.39158196888608	4.95834621264303	0.000398490143029233	0.0342498336996419	0.339945992438715	"chr4"	107238125	"-"	"II"	"OpenSea"	"AIMP1"	"NM_004757;NM_001163437;NM_001142416;NM_033115;NM_001142415;NM_001163435;NM_001163436"	"5'UTR"	"Unclassified"
"cg00045712"	0.508047793048229	-1.20804319710122	4.83816094581616	0.00048410907766073	0.0377107446567571	0.150350226605613	"chr8"	105211762	"-"	"II"	"OpenSea"	"RIMS2"	"NM_001100117;NM_001282881;NM_014677"	"Body"	""
"cg00047800"	-1.36144082235683	0.667560649366858	-10.32045415652	4.33950947571055e-07	0.000672829399911328	6.65695668711949	"chr3"	152106672	"-"	"II"	"OpenSea"	"MBNL1"	"NM_021038;NM_207292;NM_207297;NM_207296;NM_207295;NM_207294;NM_207293"	"Body"	""
"cg00050375"	0.625873631074522	-2.48174777102526	5.10897580050555	0.000313128629699739	0.0306535045367783	0.574497950912734	"chr6"	43404828	"-"	"II"	"OpenSea"	"ABCC10"	"NM_033450"	"Body"	""
"cg00050692"	-0.672192288376402	0.835852223559382	-6.23559126185029	5.71092072663889e-05	0.0126951712408962	2.21646214339373	"chr2"	25524877	"-"	"II"	"OpenSea"	"DNMT3A"	"NM_022552;NM_175630;NM_175629"	"Body"	"Unclassified"
"cg00053010"	0.863866563649493	-2.67016358716129	7.15927962509568	1.60906808036205e-05	0.00634190641903242	3.41559268009027	"chr17"	46089788	"+"	"I"	"Island"	""	""	""	"Unclassified"
"cg00054384"	0.540221841522199	-0.46212884405026	4.66298510541229	0.000645208931932798	0.0431680239181885	-0.12978992409404	"chr8"	82756549	"-"	"II"	"S_Shelf"	""	""	""	""
"cg00056676"	0.733331451719884	-1.65464265776127	4.93032889488845	0.0004169113128913	0.0350787447327952	0.295940471707085	"chr5"	101631668	"+"	"II"	"N_Shore"	"SLCO4C1"	"NM_180991"	"1stExon"	"Promoter_Associated_Cell_type_specific"
"cg00059707"	0.603282802255753	-3.23166169229801	5.68926788958506	0.000127472744955422	0.01956503967747	1.44520838720341	"chr10"	2540911	"+"	"II"	"N_Shelf"	""	""	""	""
"cg00060836"	-0.666874212764208	1.19489285174224	-5.2320830156841	0.000257744958245635	0.0278670381318608	0.763612870248138	"chr8"	67834312	"-"	"II"	"N_Shelf"	"SNHG6"	"NR_002599"	"Body"	""
"cg00066817"	0.56150968314328	0.630870010588378	5.02188387387358	0.000359821189249211	0.0327456594867436	0.43930354041264	"chr18"	72777307	"+"	"II"	"OpenSea"	"ZNF407"	"NM_017757"	"3'UTR"	""
"cg00067696"	-0.590751960690898	-1.2573184262003	-5.7523608327505	0.000115937986057991	0.0186128492465805	1.53668285722182	"chr16"	1973465	"+"	"II"	"OpenSea"	""	""	""	""
"cg00070181"	1.02784059832311	-0.634582820626883	5.35854102653827	0.000211508246420607	0.0251995261025118	0.95542642728078	"chr6"	2467820	"-"	"II"	"OpenSea"	""	""	""	""
"cg00072675"	1.16728243478312	1.06903263247316	10.6020561631706	3.28805445125441e-07	0.000561914859643593	6.89155112693005	"chr1"	56942628	"-"	"II"	"N_Shore"	""	""	""	""
"cg00072722"	0.61466225655108	-2.13559638983597	5.39006605992218	0.000201407490434226	0.0245750957281868	1.00285496350412	"chr2"	11676134	"-"	"II"	"OpenSea"	"GREB1"	"NM_014668"	"5'UTR"	""
"cg00075975"	1.17671165300424	-2.63891305436026	8.09726224005655	4.94830600785669e-06	0.00305942886223634	4.50683631198815	"chr1"	230491641	"+"	"II"	"N_Shore"	"PGBD5"	"NM_024554"	"Body"	""
"cg00076797"	0.931152845902538	-2.68798998143485	9.24033720156786	1.33669093960274e-06	0.00135666756605105	5.68243551116202	"chr1"	111022914	"-"	"II"	"OpenSea"	"CYMP"	"NR_003599"	"TSS1500"	""
"cg00077183"	-0.605364028578446	-1.92905819623231	-4.84341808737949	0.000479984951896065	0.0375794807410699	0.158688362658709	"chr12"	69462328	"+"	"II"	"OpenSea"	""	""	""	""
"cg00078085"	0.559729036696358	-1.21256830215293	4.5904617753437	0.000727584417539828	0.0455884541795861	-0.247051271058184	"chr3"	8810592	"+"	"II"	"Island"	"OXTR"	"NM_000916"	"5'UTR"	"Unclassified"
"cg00078861"	0.564519725654458	-3.02222219331833	4.57489063242243	0.000746668067771016	0.0462082958740309	-0.272323613309672	"chr5"	154429562	"-"	"II"	"OpenSea"	""	""	""	"Unclassified"
"cg00081425"	0.562790861547522	-2.01532097857664	4.88186062557272	0.000450929054619003	0.0364798609961506	0.219536374625866	"chr4"	5388982	"+"	"II"	"OpenSea"	"STK32B"	"NM_018401;NM_001306082"	"Body"	"Unclassified_Cell_type_specific"
"cg00082912"	-1.07610796816594	-0.929165016582146	-7.43574912053808	1.12458470208279e-05	0.00515145728006621	3.74995350737636	"chr17"	52194268	"-"	"II"	"OpenSea"	""	""	""	""
"cg00089122"	0.921525270987779	-1.71656597774024	7.2491272247241	1.43077826108292e-05	0.00590028328263738	3.52545589530382	"chr12"	20603672	"+"	"II"	"OpenSea"	"PDE3A"	"NM_000921"	"Body"	""
"cg00090431"	0.529347114083339	-0.946399304546725	4.71037081654629	0.000596722546205982	0.0416536710968952	-0.0535744313590447	"chr2"	241853101	"-"	"II"	"N_Shelf"	""	""	""	"Unclassified"
"cg00092444"	0.507529354512022	-1.22765951184724	4.62137080686613	0.000691202784891769	0.0445566399102781	-0.196985007391508	"chr11"	118131997	"+"	"II"	"OpenSea"	"MPZL2"	"NM_144765;NM_005797"	"Body"	""
"cg00095248"	0.597699752805632	-2.91738796748891	5.11569347338558	0.000309803287887897	0.0304983067560525	0.584877741029056	"chr2"	233963137	"+"	"II"	"OpenSea"	"INPP5D"	"NM_005541;NM_001017915"	"Body"	""
"cg00095658"	0.946586618259582	1.9790491787979	7.30098799004988	1.33760455017327e-05	0.00566387686924546	3.58834058202694	"chr10"	5119003	"-"	"II"	"OpenSea"	"AKR1C3"	"NM_001253908"	"Body"	""
"cg00096106"	0.765421939989376	-1.27914131173195	4.6812567630755	0.000626040154162175	0.0425329892940444	-0.10036378929352	"chr5"	100176809	"+"	"II"	"OpenSea"	"ST8SIA4"	"NM_005668"	"Body"	""
"cg00101104"	-0.670897074915218	-1.67062106224685	-4.53123972157951	0.000803015452384019	0.0477334378727951	-0.343348135556693	"chr19"	54219607	"-"	"II"	"OpenSea"	"MIR521-2"	"NR_030203"	"TSS1500"	""
"cg00103543"	0.775943555899117	-3.04972040006106	5.95036866288697	8.6401582122786e-05	0.0158797660603152	1.81967571428089	"chr2"	45225295	"-"	"II"	"N_Shelf"	""	""	""	""
"cg00104303"	0.790256283926823	-3.23483228885879	6.40768942473097	4.47231483626374e-05	0.0111649939878909	2.44972846849706	"chr16"	89477291	"+"	"II"	"OpenSea"	"ANKRD11"	"NR_045839;NM_013275;NM_001256183;NM_001256182"	"Body"	""
"cg00106345"	-0.854710691079607	3.51381778974903	-5.552744015402	0.00015681316691397	0.0217152430604294	1.24511695691566	"chr7"	27138396	"+"	"I"	"S_Shore"	""	""	""	"Gene_Associated_Cell_type_specific"
"cg00106757"	0.797174593578761	-2.57394883810884	7.21183390513093	1.50206918951307e-05	0.00605824998346645	3.47999620382481	"chr16"	10549245	"+"	"II"	"OpenSea"	"ATF7IP2"	"NR_045815;NM_001256160;NM_024997;NR_045816"	"Body"	""
"cg00107232"	0.68182871812538	-1.85124891899929	6.71447041552671	2.92083204945757e-05	0.00888406563708615	2.85423663450387	"chr17"	43374319	"-"	"II"	"OpenSea"	"MAP3K14"	"NM_003954"	"5'UTR"	""
"cg00108396"	-0.571792161070736	0.309802719305244	-5.04189653082074	0.00034847750871528	0.0322599295090344	0.470471884421583	"chr13"	72676336	"+"	"II"	"OpenSea"	""	""	""	""
"cg00110707"	0.583832532463542	2.41920223867633	4.67986452480222	0.000627479484341152	0.0425665401666278	-0.10260429177551	"chr4"	139591295	"+"	"II"	"OpenSea"	""	""	""	""
"cg00111823"	-0.808428193696535	1.39401370332408	-6.46351197188019	4.13488509703943e-05	0.0106924987877338	2.52440686841317	"chr22"	38479215	"+"	"I"	"S_Shore"	"SLC16A8"	"NM_013356"	"TSS200"	""
"cg00112687"	-0.709039848587334	-1.06561658073135	-4.91746815610439	0.000425665635190973	0.0354728143198239	0.275701309636145	"chr1"	106902509	"-"	"II"	"OpenSea"	""	""	""	""
"cg00113117"	0.742041892781425	-0.0260770352101589	6.47059380409901	4.09406008524802e-05	0.0106361940352523	2.53384649698078	"chr1"	56946754	"+"	"II"	"S_Shelf"	""	""	""	""
"cg00113363"	0.752132231810588	-2.37781840804289	5.41713397298771	0.000193142288450901	0.0241064413418209	1.04345351357167	"chr3"	160822985	"-"	"I"	"Island"	"B3GALNT1"	"NM_033169;NM_033168;NM_033167;NM_003781;NM_001038628"	"TSS1500"	"Unclassified_Cell_type_specific"
"cg00114106"	0.993180227149405	1.11729512120623	5.96666293160995	8.43564416168958e-05	0.0157152982844051	1.84268783286061	"chr10"	63395442	"+"	"II"	"OpenSea"	""	""	""	""
"cg00114937"	-1.12747655467368	0.451508186456189	-9.27884188359805	1.28188142509163e-06	0.00132309469606812	5.71933580484825	"chr7"	51087479	"+"	"II"	"OpenSea"	"COBL"	"NM_015198;NM_001287436"	"Body"	""
"cg00115194"	0.678404971331463	-1.22465304302775	5.19071667766025	0.000275100148058538	0.0288090604878717	0.700327825065494	"chr9"	124978446	"-"	"II"	"N_Shore"	"LHX6"	"NM_199160;NM_014368"	"Body"	""
"cg00116709"	0.874334472954925	-2.85841479621007	4.48557246475544	0.000866757764278263	0.049450025847967	-0.417931257558374	"chrX"	49020091	"-"	"I"	"Island"	"MAGIX"	"NM_001099681;NM_001099680;NM_001099682;NM_024859"	"Body"	"Unclassified_Cell_type_specific"
"cg00117624"	0.558134584798455	-2.52425718542088	4.63496171680469	0.000675814463208137	0.0441756042190159	-0.175012808103149	"chr12"	85451455	"+"	"II"	"OpenSea"	"LRRIQ1"	"NM_001079910"	"Body"	""
"cg00117869"	0.529258682593991	2.44381116678426	4.64212830449466	0.000667845261403122	0.043933650546132	-0.1634371529626	"chr10"	126198993	"+"	"I"	"OpenSea"	"LHPP"	"NM_022126;NM_001167880"	"Body"	""
